,Precision,Recall,F1-score
12,0.7753623188405797,0.6772151898734177,0.7229729729729729
13,0.7861635220125787,0.7911392405063291,0.7886435331230284
14,0.823943661971831,0.740506329113924,0.78
15,0.7972972972972973,0.7468354430379747,0.7712418300653594
16,0.855072463768116,0.7468354430379747,0.7972972972972974
17,0.8104575163398693,0.7848101265822784,0.7974276527331189
18,0.7666666666666667,0.7278481012658228,0.7467532467532467
19,0.672316384180791,0.7531645569620253,0.7104477611940297
20,0.831081081081081,0.7784810126582279,0.803921568627451
21,0.7935483870967742,0.7784810126582279,0.7859424920127795
22,0.821917808219178,0.759493670886076,0.7894736842105263
23,0.8013698630136986,0.740506329113924,0.7697368421052632
24,0.754601226993865,0.7784810126582279,0.766355140186916
25,0.7530120481927711,0.7911392405063291,0.771604938271605
26,0.8,0.7341772151898734,0.7656765676567656
27,0.7664670658682635,0.810126582278481,0.7876923076923077
28,0.7469135802469136,0.7658227848101266,0.7562500000000001
29,0.8098591549295775,0.7278481012658228,0.7666666666666667
30,0.7407407407407407,0.759493670886076,0.75
31,0.8142857142857143,0.7215189873417721,0.7651006711409395
32,0.7530864197530864,0.7721518987341772,0.7625
33,0.7482517482517482,0.6772151898734177,0.7109634551495017
34,0.7635135135135135,0.7151898734177216,0.738562091503268
35,0.7417582417582418,0.8544303797468354,0.7941176470588235
36,0.7453416149068323,0.759493670886076,0.7523510971786834
37,0.8266666666666667,0.7848101265822784,0.8051948051948051
38,0.740506329113924,0.740506329113924,0.740506329113924
39,0.7682119205298014,0.7341772151898734,0.7508090614886732
40,0.8561643835616438,0.7911392405063291,0.8223684210526316
41,0.7916666666666666,0.8417721518987342,0.8159509202453988
42,0.78125,0.7911392405063291,0.7861635220125787
43,0.7721518987341772,0.7721518987341772,0.7721518987341772
44,0.7741935483870968,0.759493670886076,0.7667731629392971
45,0.7933333333333333,0.7531645569620253,0.7727272727272726
46,0.8,0.7341772151898734,0.7656765676567656
47,0.7837837837837838,0.7341772151898734,0.7581699346405228
48,0.6487804878048781,0.8417721518987342,0.7327823691460056
49,0.7619047619047619,0.810126582278481,0.7852760736196319
50,0.7828947368421053,0.7531645569620253,0.767741935483871
51,0.8333333333333334,0.759493670886076,0.7947019867549668
52,0.7748344370860927,0.740506329113924,0.7572815533980581
53,0.7560975609756098,0.7848101265822784,0.7701863354037267
54,0.8024691358024691,0.8227848101265823,0.8125000000000001
55,0.76875,0.7784810126582279,0.7735849056603774
56,0.78125,0.7911392405063291,0.7861635220125787
57,0.7549668874172185,0.7215189873417721,0.7378640776699029
58,0.7793103448275862,0.7151898734177216,0.7458745874587459
59,0.7987012987012987,0.7784810126582279,0.7884615384615383
60,0.7647058823529411,0.740506329113924,0.752411575562701
61,0.7880794701986755,0.7531645569620253,0.7702265372168285
62,0.743421052631579,0.7151898734177216,0.7290322580645161
63,0.6666666666666666,0.759493670886076,0.7100591715976332
64,0.74375,0.7531645569620253,0.748427672955975
65,0.779874213836478,0.7848101265822784,0.7823343848580441
66,0.75625,0.7658227848101266,0.761006289308176
