,Pipeline,Precision,Recall,F1-score,IQV,F1
0,res_biobert_avg_bow,"83.67(76.73,89.06)","80.38(74.05,87.34)","81.73(77.84,86.0)",8.159999999999997,81.73
0,res_biobert_all_bow,"83.77(75.55,88.81)","79.11(73.42,85.44)","81.04(77.17,85.45)",8.280000000000001,81.04
0,res_unigrams,"80.06(73.91,86.0)","82.28(74.05,88.61)","80.62(75.77,85.19)",9.420000000000002,80.62
0,res_biobert_all,"80.13(71.75,85.95)","75.95(69.62,82.93)","77.69(72.67,81.44)",8.769999999999996,77.69
0,res_biobert_avg,"78.14(68.98,85.43)","75.32(68.34,82.91)","76.63(71.63,81.26)",9.63000000000001,76.63
0,res_specter_old,"78.4(69.62,84.74)","72.15(65.19,79.75)","74.83(69.96,79.23)",9.27000000000001,74.83
0,res_specter,"74.11(66.46,80.92)","68.99(62.01,76.6)","71.21(66.21,75.85)",9.64,71.21
