,Precision,Recall,F1-score
46,0.7803468208092486,0.8544303797468354,0.8157099697885197
47,0.7692307692307693,0.8227848101265823,0.7951070336391437
48,0.793939393939394,0.8291139240506329,0.8111455108359132
49,0.7951807228915663,0.8354430379746836,0.8148148148148148
50,0.8344370860927153,0.7974683544303798,0.8155339805825244
51,0.8034682080924855,0.879746835443038,0.8398791540785498
52,0.7588235294117647,0.8164556962025317,0.7865853658536587
53,0.803921568627451,0.7784810126582279,0.7909967845659166
54,0.8146067415730337,0.9177215189873418,0.8630952380952381
55,0.7973856209150327,0.7721518987341772,0.7845659163987139
56,0.8639455782312925,0.8037974683544303,0.8327868852459016
57,0.8366013071895425,0.810126582278481,0.8231511254019293
58,0.8125,0.740506329113924,0.7748344370860927
59,0.8224852071005917,0.879746835443038,0.8501529051987767
60,0.7891566265060241,0.8291139240506329,0.808641975308642
61,0.7777777777777778,0.7974683544303798,0.7875
62,0.7611111111111111,0.8670886075949367,0.8106508875739644
63,0.8163265306122449,0.759493670886076,0.7868852459016394
64,0.7672955974842768,0.7721518987341772,0.7697160883280757
65,0.8333333333333334,0.8544303797468354,0.84375
66,0.8299319727891157,0.7721518987341772,0.7999999999999999
67,0.7962962962962963,0.8164556962025317,0.80625
68,0.8169014084507042,0.7341772151898734,0.7733333333333333
69,0.8309859154929577,0.7468354430379747,0.7866666666666666
70,0.7687861271676301,0.8417721518987342,0.8036253776435045
71,0.768361581920904,0.8607594936708861,0.8119402985074626
72,0.7696629213483146,0.8670886075949367,0.8154761904761905
73,0.7911392405063291,0.7911392405063291,0.7911392405063291
74,0.779874213836478,0.7848101265822784,0.7823343848580441
75,0.8,0.8354430379746836,0.8173374613003096
76,0.8145695364238411,0.7784810126582279,0.796116504854369
77,0.8193548387096774,0.8037974683544303,0.8115015974440895
78,0.8141025641025641,0.8037974683544303,0.8089171974522292
79,0.8513513513513513,0.7974683544303798,0.8235294117647058
80,0.7613636363636364,0.8481012658227848,0.8023952095808383
81,0.8209876543209876,0.8417721518987342,0.83125
82,0.7696629213483146,0.8670886075949367,0.8154761904761905
83,0.7426900584795322,0.8037974683544303,0.7720364741641337
84,0.8609271523178808,0.8227848101265823,0.8414239482200648
85,0.7885714285714286,0.8734177215189873,0.8288288288288288
86,0.803680981595092,0.8291139240506329,0.8161993769470405
87,0.8680555555555556,0.7911392405063291,0.8278145695364238
88,0.7869822485207101,0.8417721518987342,0.8134556574923547
89,0.8391608391608392,0.759493670886076,0.79734219269103
90,0.8300653594771242,0.8037974683544303,0.8167202572347267
91,0.8113207547169812,0.8164556962025317,0.8138801261829655
92,0.7884615384615384,0.7784810126582279,0.7834394904458599
93,0.8289473684210527,0.7974683544303798,0.8129032258064517
94,0.8,0.810126582278481,0.8050314465408804
95,0.7792207792207793,0.759493670886076,0.7692307692307693
96,0.8378378378378378,0.7848101265822784,0.8104575163398693
97,0.847682119205298,0.810126582278481,0.8284789644012945
98,0.8181818181818182,0.7974683544303798,0.8076923076923078
99,0.7732558139534884,0.8417721518987342,0.806060606060606
100,0.8421052631578947,0.810126582278481,0.8258064516129032
101,0.7469135802469136,0.7658227848101266,0.7562500000000001
102,0.7515151515151515,0.7848101265822784,0.7678018575851393
103,0.7727272727272727,0.8607594936708861,0.8143712574850299
104,0.8012820512820513,0.7911392405063291,0.7961783439490445
105,0.8157894736842105,0.7848101265822784,0.7999999999999999
106,0.8113207547169812,0.8164556962025317,0.8138801261829655
107,0.8343949044585988,0.8291139240506329,0.8317460317460317
108,0.8081395348837209,0.879746835443038,0.8424242424242425
109,0.7678571428571429,0.8164556962025317,0.7914110429447854
110,0.8111888111888111,0.7341772151898734,0.770764119601329
111,0.8242424242424242,0.8607594936708861,0.8421052631578946
112,0.808641975308642,0.8291139240506329,0.81875
113,0.8047337278106509,0.8607594936708861,0.8318042813455658
114,0.7541899441340782,0.8544303797468354,0.8011869436201781
115,0.8278145695364238,0.7911392405063291,0.8090614886731392
116,0.8205128205128205,0.810126582278481,0.8152866242038216
117,0.7791411042944786,0.8037974683544303,0.7912772585669782
118,0.7875,0.7974683544303798,0.7924528301886793
119,0.7705882352941177,0.8291139240506329,0.7987804878048781
120,0.788235294117647,0.8481012658227848,0.8170731707317074
121,0.7962962962962963,0.8164556962025317,0.80625
122,0.8,0.810126582278481,0.8050314465408804
123,0.7790697674418605,0.8481012658227848,0.812121212121212
124,0.7738095238095238,0.8227848101265823,0.7975460122699387
125,0.8300653594771242,0.8037974683544303,0.8167202572347267
126,0.75,0.8164556962025317,0.781818181818182
127,0.7911392405063291,0.7911392405063291,0.7911392405063291
128,0.8705035971223022,0.7658227848101266,0.8148148148148148
129,0.810126582278481,0.810126582278481,0.810126582278481
130,0.7901234567901234,0.810126582278481,0.8
131,0.8428571428571429,0.7468354430379747,0.7919463087248322
132,0.8679245283018868,0.8734177215189873,0.8706624605678234
133,0.7653631284916201,0.8670886075949367,0.8130563798219586
134,0.7950310559006211,0.810126582278481,0.8025078369905956
135,0.7710843373493976,0.810126582278481,0.7901234567901234
136,0.7974683544303798,0.7974683544303798,0.7974683544303798
137,0.7616279069767442,0.8291139240506329,0.793939393939394
138,0.7865853658536586,0.8164556962025317,0.8012422360248448
139,0.8048780487804879,0.8354430379746836,0.8198757763975155
140,0.7732558139534884,0.8417721518987342,0.806060606060606
141,0.8181818181818182,0.7974683544303798,0.8076923076923078
142,0.8076923076923077,0.7974683544303798,0.802547770700637
143,0.7556818181818182,0.8417721518987342,0.7964071856287425
144,0.832258064516129,0.8164556962025317,0.8242811501597443
145,0.8072289156626506,0.8481012658227848,0.8271604938271606
146,0.8291139240506329,0.8291139240506329,0.829113924050633
147,0.8176100628930818,0.8227848101265823,0.8201892744479495
148,0.8356164383561644,0.7721518987341772,0.8026315789473685
149,0.7818181818181819,0.8164556962025317,0.7987616099071208
150,0.7908496732026143,0.7658227848101266,0.7781350482315113
151,0.8333333333333334,0.7278481012658228,0.777027027027027
152,0.7898089171974523,0.7848101265822784,0.7873015873015873
153,0.831081081081081,0.7784810126582279,0.803921568627451
154,0.75625,0.7658227848101266,0.761006289308176
155,0.7861635220125787,0.7911392405063291,0.7886435331230284
156,0.7784431137724551,0.8227848101265823,0.8
157,0.825,0.8354430379746836,0.8301886792452831
158,0.8366013071895425,0.810126582278481,0.8231511254019293
