,Pipeline,Precision,Recall,F1-score,IQV,F1
0,res_unigrams,"80.06(73.91,86.0)","82.28(74.05,88.61)","80.62(75.77,85.19)",9.420000000000002,80.62
0,res_trigrams,"80.36(74.4,86.3)","81.01(73.42,87.97)","80.61(76.68,84.55)",7.86999999999999,80.61
0,res_bigrams,"79.88(72.25,86.9)","81.65(74.05,87.99)","80.6(76.22,84.76)",8.540000000000006,80.6
