,Pipeline,Precision,Recall,F1-score,IQV,F1
0,res_biobert_avg_bow,"83.7 (76.7,89.1)","80.4 (74.1,87.3)","81.7 (77.8,86.0)",8.200000000000003,81.7
0,res_biobert_all_bow,"83.8 (75.6,88.8)","79.1 (73.4,85.4)","81.0 (77.2,85.4)",8.200000000000003,81.0
0,res_unigrams,"80.1 (73.9,86.0)","82.3 (74.1,88.6)","80.6 (75.8,85.2)",9.400000000000006,80.6
